,path,emotion
204,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1712.wav,negative
205,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1715.wav,negative
206,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1720.wav,negative
207,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/173.wav,negative
209,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1738.wav,negative
210,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/174.wav,negative
211,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1740.wav,negative
212,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1743.wav,negative
215,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1747.wav,negative
216,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1748.wav,negative
217,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1750.wav,negative
222,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1768.wav,negative
223,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1772.wav,negative
225,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1788.wav,negative
228,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/18.wav,negative
229,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1800.wav,negative
230,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1805.wav,negative
231,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1807.wav,negative
232,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1808.wav,negative
233,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1809.wav,negative
234,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1812.wav,negative
236,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1815.wav,negative
237,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/182.wav,negative
238,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1821.wav,negative
239,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1823.wav,negative
240,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1824.wav,negative
244,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/185.wav,negative
245,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1850.wav,negative
247,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1853.wav,negative
248,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1854.wav,negative
249,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1864.wav,negative
250,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1865.wav,negative
251,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1867.wav,negative
252,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1874.wav,negative
253,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1875.wav,negative
255,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1881.wav,negative
256,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1884.wav,negative
258,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1890.wav,negative
262,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/19.wav,negative
263,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/190.wav,negative
264,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1903.wav,negative
265,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1905.wav,negative
266,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1910.wav,negative
267,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1911.wav,negative
269,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1930.wav,negative
270,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1931.wav,negative
271,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1937.wav,negative
272,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/196.wav,negative
280,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1998.wav,negative
284,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2037.wav,negative
285,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2042.wav,negative
288,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2050.wav,negative
289,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2051.wav,negative
290,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2052.wav,negative
291,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2056.wav,negative
292,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2073.wav,negative
294,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2077.wav,negative
295,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2080.wav,negative
297,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2090.wav,negative
298,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2094.wav,negative
301,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/21.wav,negative
302,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2103.wav,negative
304,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2106.wav,negative
305,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2108.wav,negative
312,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2136.wav,negative
313,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/214.wav,negative
314,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2142.wav,negative
315,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2144.wav,negative
316,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2145.wav,negative
317,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2149.wav,negative
318,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2156.wav,negative
319,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2160.wav,negative
320,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2168.wav,negative
322,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2179.wav,negative
323,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2184.wav,negative
324,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2189.wav,negative
325,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2193.wav,negative
327,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2210.wav,negative
328,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2212.wav,negative
329,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2215.wav,negative
330,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2223.wav,negative
331,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2228.wav,negative
333,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2230.wav,negative
334,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2232.wav,negative
335,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2234.wav,negative
336,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2235.wav,negative
337,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2243.wav,negative
339,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2259.wav,negative
340,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2263.wav,negative
341,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2264.wav,negative
343,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2267.wav,negative
344,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2278.wav,negative
346,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2281.wav,negative
347,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2282.wav,negative
348,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2285.wav,negative
350,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2294.wav,negative
351,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/230.wav,negative
352,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2300.wav,negative
353,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2309.wav,negative
354,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2315.wav,negative
355,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2318.wav,negative
356,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2321.wav,negative
357,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2328.wav,negative
358,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2332.wav,negative
359,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2333.wav,negative
360,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2339.wav,negative
361,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2349.wav,negative
362,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/235.wav,negative
363,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2365.wav,negative
371,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2387.wav,negative
372,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/239.wav,negative
375,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2405.wav,negative
377,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2425.wav,negative
378,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2426.wav,negative
379,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2427.wav,negative
381,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2430.wav,negative
382,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2433.wav,negative
383,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2434.wav,negative
386,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2446.wav,negative
387,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/245.wav,negative
388,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2452.wav,negative
389,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2459.wav,negative
390,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2461.wav,negative
391,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/247.wav,negative
392,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2481.wav,negative
393,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2483.wav,negative
394,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2487.wav,negative
396,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2501.wav,negative
400,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2517.wav,negative
401,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2524.wav,negative
402,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2529.wav,negative
403,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2536.wav,negative
406,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2545.wav,negative
407,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2546.wav,negative
408,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2547.wav,negative
410,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2554.wav,negative
411,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2559.wav,negative
412,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/256.wav,negative
413,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/2561.wav,negative
